Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,¿Tu app recopila o comparte alguno de los tipos de datos que se requieren de los usuarios?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,¿Todos los datos de los usuarios que recopila tu app se encriptan en tránsito?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,¿Cuál de los siguientes métodos de creación de cuentas admite la app? Selecciona todas las opciones que correspondan./Nombre de usuario y contraseña
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,¿Cuál de los siguientes métodos de creación de cuentas admite la app? Selecciona todas las opciones que correspondan./Nombre de usuario y otra forma de autenticación
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"¿Cuál de los siguientes métodos de creación de cuentas admite la app? Selecciona todas las opciones que correspondan./Nombre de usuario, contraseña y otros tipos de autenticación"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,¿Cuál de los siguientes métodos de creación de cuentas admite la app? Selecciona todas las opciones que correspondan./OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,¿Cuál de los siguientes métodos de creación de cuentas admite la app? Selecciona todas las opciones que correspondan./Otro
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,¿Cuál de los siguientes métodos de creación de cuentas admite la app? Selecciona todas las opciones que correspondan./Mi app no permite que los usuarios creen una cuenta.
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Describe el método de creación de cuentas que admite la app
PSL_ACCOUNT_DELETION_URL,,https://alerty-two.vercel.app/privacy,MAYBE_REQUIRED,Agrega un vínculo que los usuarios puedan usar para solicitar que se borren su cuenta y los datos asociados 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,¿Pones a disposición de los usuarios un método para que soliciten que se borren sus datos?/Sí
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,true,SINGLE_CHOICE,¿Pones a disposición de los usuarios un método para que soliciten que se borren sus datos?/No
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,"¿Pones a disposición de los usuarios un método para que soliciten que se borren sus datos?/No, pero los datos del usuario se borran automáticamente en un plazo de 90 días"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,URL de eliminación de datos
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Responde esta pregunta solo si indicaste que el grupo etario al que se orienta tu app incluye niños o si aceptaste participar del programa Diseñado para familias. Si cumples con alguna de las condiciones anteriores, debes respetar la Política de Familias de Google Play (https://support.google.com/googleplay/android-developer/answer/9893335). ¿Quieres que los usuarios conozcan este compromiso en la sección de Seguridad de los datos de tu ficha de Play Store?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"¿Tu app completó con éxito una revisión de seguridad independiente de acuerdo con el framework de la Evaluación de Seguridad para Aplicaciones Móviles (MASA)? Solo si la revisión está en regla, responde ""sí""."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,¿Quieres mostrar esta insignia en la ficha de Play Store?
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,¿Los usuarios pueden acceder a tu app con cuentas creadas fuera de ella?
